,ruid,count
1565,11087,90191
1566,24955,323814
1567,84873,316892
1568,72623,575419
1569,55932,1103770
1570,13578,330437
1571,90091,1670
1572,51853,118390
1573,7495,78995
1574,73265,514
1575,99181,70
1576,103611,6094
1577,15109,13770
1578,50807,13489
1579,95163,2
1580,84449,143
1581,14215,6
1582,48539,534854
1583,14002,91366
1584,38901,70659
1585,49572,78025
1586,69078,35966
1587,59125,82887
1588,2908,18247
1589,92347,61
1590,60892,144391
1591,92206,658
1592,11896,12
1593,24566,7380
1594,95247,732369
1595,2280,568904
1596,100551,128
1597,43438,128843
1598,57697,564523
1599,85833,50605
1600,22793,188622
1601,38083,615
1602,90371,299266
1603,12211,13
1604,105094,9
1605,27697,21220
1606,92327,32
1607,9658,981
1608,103669,49193
1609,73574,162090
1610,100874,3441
1611,80927,19337827
1612,27739,2108
1613,41280,652080
1614,49677,229442
1615,60939,12120
1616,2126,9
1617,47863,2895889
1618,85489,434132
1619,80512,175632
1620,99284,1509
1621,85264,32523
1622,85646,29
1623,81538,228
1624,16982,16
1625,92130,427
1626,16581,24406
1627,51352,119269
1628,56358,224674
1629,75423,4464
1630,103820,51
1631,30955,149100
1632,58983,42239
1633,10372,34
1634,28389,2
1635,57135,882629
1636,69244,181133
1637,57165,515212
1638,35111,67272
1639,74561,8030403
1640,35329,137367
1641,9421,17305
1642,35724,59961
1643,1472,3654
1644,12274,12
1645,22339,687866
1646,88913,34726
1647,27783,1337485
1648,84155,15406
1649,50789,39615
1650,59012,328
1651,79663,62744
1652,42963,212901
1653,29989,6547
1654,18681,2688
1655,1241,23910
1656,29605,128
1657,97000,3
1658,69138,158287
1659,34408,36375
1660,24076,24538
1661,50193,12
1662,99020,2708
1663,28550,346331
1664,90370,19393
1665,5858,3261
1666,32628,196450
1667,24317,23
1668,22497,127273
1669,79150,360947
1670,82163,32750
1671,15578,12069
1672,9770,5
1673,36254,40432
1674,13585,59707
1675,59016,2188
1676,50465,7816
1677,103857,599
1678,85076,7806
1679,91892,11037
1680,19704,77418
1681,13535,1221559
1682,84840,6452356
1683,44561,32949
1684,77409,13182
1685,37397,106737
1686,25435,2149
1687,11231,213202
1688,37885,151
1689,41672,262
1690,31961,2078
1691,22334,170
1692,24849,512020
1693,105033,1402
1694,43677,575367
1695,70502,497351
1696,82359,162292
1697,75057,3238
1698,6697,252966
1699,83531,6815
1700,18992,2
1701,102442,5662
1702,100998,1
1703,92884,2002
1704,83589,769422
